docid,wordcount,f,ipm
"popov_valeriy.pohozhdeniya_dvuh_goremyk","9528",1, 0.01030
"yefremov.zvezdnyye_korabli","19351",1, 0.01030
"korshunov.tigry","3482",1, 0.01030
"yefremov.ozero_gornykh_dukhov","4727",1, 0.01030
"prishvin.stary_grib","1194",1, 0.01030
"chepovetski_efim.krasnaia_zvezdochka_hrabroe_serdtse","2255",1, 0.01030
"voronkova.selo","20867",1, 0.01030
"moskovkin.valerka_i_ego_druzya","54716",1, 0.01030
"vasilenko.obschee_sobranie_znakov_prepinania","1611",1, 0.01030
"aleksin_anatoliy.pismo_byvshemu_drugu","996",1, 0.01030
"ermolev.mozhete_nas_pozdravit","54951",1, 0.01030
"pavlovski_oleg.neobychainoe_puteshestvie_petki_ozornikova","21504",1, 0.01030
"smirnov.otkrytie_mira","82924",1, 0.01030
"zhitkov_b.besprizornaya_koshka","2135",1, 0.01030
"sizova.istoriya_odnoy_devochki","32253",1, 0.01030
"simonov.bessmertnaya_familiya","1394",1, 0.01030
"bazhov.socnevy_kameski","2560",1, 0.01030
"emets.zamurovannaia_mumiia","13639",1, 0.01030
"mikhasenko.neugomonnye","45062",1, 0.01030
"abramov.zhila_byla_semuzhka","7180",1, 0.01030
"ryss.devotchka_ishet_otsa","27618",1, 0.01030
"punchenok.passazhir_dalnego_plavanija","42016",1, 0.01030
"kuznecova.vydumannyy_zhuchok","26488",1, 0.01030
"pavlenko.stepnoe_solnce","20158",1, 0.01030
"gurevich.v_zenite","68253",1, 0.01030
"prishvin.ohotnichi_sobaki","628",1, 0.01030
"elkina.tayna_sinego_fregata","31910",1, 0.01030
"rudashevskiy.zdravstvuy_brat_moy_bzou","30961",1, 0.01030
"prishvin.nochevki_zaitsa","120",1, 0.01030
"nemtsov.chastlivaya_zvezda","137205",1, 0.01030
"vorobey.ne_nado_menya_proshchat","21983",1, 0.01030
"prishvin.muravi","445",1, 0.01030
"prishvin.lyagushonok","353",1, 0.01030
"dvorkin_ilia.sitstevyi_razboinik","2141",1, 0.01030
"prishvin.rebyata_i_utyata","322",1, 0.01030
"ivanov_ustinova.uroki_bez_pravil","35871",1, 0.01030
"nekrasov.priklyucheniya_kapitana_vrungelya","37855",1, 0.01030
"prishvin.dedushkin_valenok","727",1, 0.01030
"nikolskaya_anna.konditerskie_istorii","4056",1, 0.01030
"korshunov.strana","3305",1, 0.01030
"zhitkov_b.pudya","3080",1, 0.01030
"prishvin.chromka","370",1, 0.01030
"berggolc.zima_leto_popugay","582",1, 0.01030
"almazov.prezent","8766",1, 0.01030
"prishvin.belyak","246",1, 0.01030
"poluyanov.doch_soldata","41246",1, 0.01030
"mihkaylov.tainoy_vladeet_pion","110899",1, 0.01030
"prishvin.moim_molodym_druzia","1043",1, 0.01030
"bogdanov.o_smelyh_i_umelyh","51395",1, 0.01030
"kvin.ozorniki","21924",1, 0.01030
"platonov.shturm_labirinta","4437",1, 0.01030
"leoni.danka_muzykant","4797",1, 0.01030
"vnukov.moskva_za_nami","4061",1, 0.01030
"platonov.pochemy_gusi","508",1, 0.01030
"kolokolov.miroshka","2568",1, 0.01030
"platonov.padcheritsa","1233",1, 0.01030
"vereyskaya.besik","2450",1, 0.01030
"golyshkin_vasiliy.leshka","94256",1, 0.01030
"gerchik.veter_rvet_pautinu","53591",1, 0.01030
"platonov.ozornoj_kot","874",1, 0.01030
"zamyslovskaya.pokos","1863",1, 0.01030
"platonov.soldat_i_tsaritsa","1921",1, 0.01030
